,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU28,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,1.4479363285675215,,,,,,31.14464332579209,1.1486721191936646,,66.9708242981843,24.14261023109655,9.46476673436955,,3.185704375282858,5.360051325546636,,15.215493941904148,42.32042566899719,,0.2805658509569638,,,,,0.7369999999999999,64.40654215699563,,1.2749275623713023,17.260822583790176,0.21616314075091134,,0.5880022761348475,133.992322794559,,,,,8.905961757642437,621.2771400865354,17.46180284927596,,,,1.4093104488183843,1.8660575223594484,5.814117814668602,,,1.5455487673349775,41.407412778744764,,,17.06088382451718,,,2.631670254472141,4.543224154458802,22.65141668263814,1.1057570917394912,,,8.52950732993648,1.0740519916619913,,,,,22.05100038783316,136.29880450149784,,,,,2.9167335462635395,326.677988266043,1.324755966762987,,26.333528562249104,,,,1.8335427033774832,0.288,,,,0.9122431548021266,24.001836334663064,24.48314872251614,,168.41539065036667,39.34837321421124,,10.837881114198618,55.45137680323943,13.711775570817954,153.30341315923982,1.93235489956365,360.9120121268923,4.37697028593591,78.46158300068832,2.2485253502451457,,13.122795678806693,4.197891434895899,0.1562834762082532,5.814285307337722,,,,,,11.750536020842198,3.264602613521823,,,0.3783060929511444,0.40097727417361484,18.971310975435557,,,0.7991578114804744,,,,0.7253024600749155,86.37797087720936,2.483394797537724,,,8.864204884423263,0.9050766659520038,,0.011,,0.3007365257275334,55.12051049259236,,7.3703478288893285,0.8337620497716042,,9.72375093776556,,12.109365812631518,,3.559574128195066,19.965176472969237,,0.794580053069455,,0.9847642170274225,6.461659669661645,16.940792734655965,1.4715348233622378,88.67576842620498,14.277340987948044,3.0388881965047636,0.6538936539027277,87.140027605777,,,,,43.69104130946727,567.9897648093416,0.148,,,,,,55.11743825917438,0.9134466876792889,,,,20.09040181925998,19.779495917795032,4.352706819889313,,,61.56724159713199,72.60438162885063,1.7167222393455428,,,,,,23.412591269360707,23.372410876447162,,47.91543119998417,,33.662277174975266,,0.2983783064537339,,3.2060882062018266,4.464031210743151,57.724110543204695,,,0.4316255285832898,135.39782689064586,14.548163828358428,180.98487282501338,1.0044447662904588,1376.3419848180995,1.3431612170464324,,,25.698289012726068,6.401531695478161,,,0.7755603191190338,4.936366035785231,4065.5183825690433,2042.3167548993301,3530.847990438401,2576.1753032807737,1382.5943851429674,162.30315857904947,1665.1856581726556,27.536964965559587,2168.2751795249487,247.57732239292514,1597.2391773610668,76.09955735851618,163.61323251458265
1991,,1.2472796724940192,,,,,,33.096117901866094,1.0265154286525013,,67.18367876815411,24.619380512826076,7.18908061120482,,3.2414362007901145,5.588936064360128,,16.610042354882495,42.62661121350054,,0.31344067811497145,,,,,0.719,66.03707049917138,,1.1637560184775504,12.073937727971265,0.22905860431229425,,0.6045082873196982,133.55337992892652,,,,,8.57551538514524,647.6948037484228,16.922636495872105,,,,1.4313041692335495,1.829059184651658,4.314436301342759,,,1.5814508422486635,36.2943000291213,,,18.055766446985203,,,2.8233329815689263,4.485264699845277,21.820666492303165,1.2632660574397583,,,8.061838372775547,1.083528654462831,,,,,20.356513906052975,139.37608878346893,,,,,3.234449505526462,312.9672540060954,1.3655634626956512,,26.04893920455888,,,,1.833509766257411,0.2929999999999999,,,,0.9471370790872681,25.766746004716644,22.361356217856066,,174.5642376702404,45.20462478356221,,11.254420607249584,59.75614787769599,13.902398966274948,151.95526176595783,1.9375336309877513,364.8222479931371,3.904543198836174,58.04408275960537,2.016765048790342,,4.920990041695131,4.1999115982354125,0.17285180501809644,5.3639941826212,,,,,,12.47055802290429,3.4081008571027653,,,0.3986819977854448,0.4084707332760339,21.017136462110027,,,0.8180861847676849,,,,0.7604890539380615,90.87599779729071,2.4357524747743033,,,8.952839528609008,0.8739930535586928,,0.28799999999999987,,0.40762378117138726,57.24234558873576,,7.414806391674886,0.7116641075867289,,10.338552883444434,,11.394368851008348,,3.7891797352520658,19.434817570307775,,0.8252765500333626,,1.0030996027448655,6.35834684775844,16.952784518242883,1.5404133064916812,92.71484414419521,14.818189371964818,4.409792024537626,0.5008035150101222,90.39373204906337,,,,,35.446583233461965,572.3149820735938,0.133,,,,,,67.08210266927973,0.9787289266292186,,,,20.797768677926086,15.497410596944226,4.150151513951217,,,66.67781147581658,74.0491232067126,1.8935244563960894,,,,,,23.107064268869983,23.890524784992735,,48.179997070432215,,34.223325647234795,,0.32559053216594147,,4.125054761400114,4.7387370806877644,56.84241599549683,,,0.440968911814111,123.18168621889548,15.857200775943804,182.93061074185363,1.061130584878723,1354.7762116050835,1.4869646502850071,,,26.69806635426361,6.369810381342018,,,0.8366125049757516,4.895900282467456,4010.890397959246,2091.3401779577202,3505.5208498730262,2595.916295525239,1353.9646178520964,168.64014479953568,1692.7699296181547,28.476399199912382,2126.4857049456,262.2427456329579,1579.742156150223,76.39415921707122,167.47341707979123
1992,,0.7834801628318854,,,,,,35.29573150666603,0.9562869652229639,,67.91718919219113,25.169316332370652,3.7811285735123636,,3.101507571376051,6.263325170386513,,11.57460867147006,47.44353507321937,,0.33373426583923077,,,,,0.7579999999999999,66.01734838650908,,1.2500143907353718,11.56087203584091,0.23400786561009063,,0.6243058519870553,137.39400179286025,,,,,9.236385518252446,704.505564562896,18.777508745673845,,,,1.5697261377009553,1.8038740943168063,4.973294033378419,,,1.9246245047034214,38.77659677123955,,,19.005656900602947,,,3.0779233566252695,5.651427765165187,24.3216806950186,1.3491844557793287,,,6.554911024920508,1.1049147278740408,,,,,28.268471092972554,150.3945569529186,,,,,2.591744405890273,329.7655244233143,1.3866019004789516,,28.434407784179992,,,,2.2058802451996953,0.2929999999999999,,,,1.0821796465438043,28.100692917557776,25.380910415688835,,188.662177732749,51.69978678650472,,11.641666581946824,60.32823339424254,16.11849384428443,165.50791011740566,1.8317129370727776,388.9442858652457,4.704035049955784,36.69460123251926,2.3244386192098556,,7.224915293964345,4.896807067386093,0.18648619749900638,4.991304885966101,,,,,,14.283419365643647,3.3487670476399547,,,0.39986625197359565,0.4049032729088967,23.3959279063595,,,0.8961465420688008,,,,0.8408369880700142,92.89678485120606,2.529769336949236,,,10.27247458891186,0.8366405554536083,,0.3139999999999999,,0.5043544942728541,65.21774422968139,,7.780764641441125,0.8597540637614831,,16.2209605117884,,14.080178213122064,,3.8780619177917415,21.33146791642293,,0.960654345658017,,1.1262070405073166,6.394050714691039,20.817825033649267,1.7785926000371874,95.0847781225376,16.514720522913432,6.317500646374337,1.17914742199886,104.99692831696204,,,,,32.580625085029716,213.9887419130796,0.133,,,,,,71.6233147783278,1.0121278811655434,,,,23.557261978330164,14.954205941422295,5.244819918798952,,,62.46969577480728,80.08659401720448,2.1512066003154113,,,,,,25.82858446545719,25.8495650294,,61.201226183134345,,43.88778602790875,,0.3355151714884123,,4.159749169506227,5.915387697129548,66.45282337320717,,,0.4548911161646437,118.4318683877554,16.46069693521412,187.74097854931085,1.044094340210668,1405.8966542696523,1.678398402443266,,,26.00764256671865,6.379248152703961,,,0.8564367528846657,4.952402966978272,3819.9729192096315,2241.01616248913,3707.9287111935705,2352.1248722919104,1441.5749427383766,176.99051092386497,1823.270414154306,30.640575425271038,1851.4077014614993,291.245256187391,1636.7020672455749,77.49539470242556,173.2311921010486
